1 1:0.0118741 2:-0.0117322 3:0.00670843 4:0.0211459 5:-0.00996311 6:0.0810768 7:0.683675 8:0.2698 9:0.0465247 10:0.0205162 11:0.953475 12:0.325423 13:0.0341378
0 1:0.0109132 2:-0.0229403 3:-0.0374127 4:0.0485921 5:0.0797376 6:0.462278 7:0.914661 8:0.0851976 9:0.000140996 10:0.011015 11:0.999859 12:0.48378 13:0.000129892
0 1:3.07919e-05 2:0.000218964 3:-3.5258e-06 4:0.0015609 5:-2.4006e-05 6:0.00550526 7:0.710927 8:0.28906 9:1.34435e-05 10:8.65558e-05 11:0.999987 12:0.0388945 13:1.04287e-05
0 1:0.00126797 2:-0.00095359 3:-9.36084e-05 4:0.00085351 5:0.000142336 6:0.33655 7:0.993949 8:0.00579892 9:0.000252215 10:0.00387482 11:0.999748 12:0.379921 13:0.000250635
1 1:0.0313023 2:0.00109959 3:0.0229787 4:0.0128611 5:0.000770196 6:0.0864335 7:0.756892 8:0.108171 9:0.134937 10:0.0303375 11:0.865063 12:0.365923 13:0.0979191
1 1:0.0103746 2:-0.00131263 3:-0.0129185 4:0.0067696 5:0.00257285 6:0.0675686 7:0.886508 8:0.0249326 9:0.0885598 10:0.0152087 11:0.91144 12:0.257235 13:0.0736738
1 1:0.0232886 2:0.00644105 3:0.0293028 4:0.0147963 5:0.0130383 6:0.0829107 7:0.867734 8:0.0228827 9:0.109384 10:0.0237449 11:0.890616 12:0.331393 13:0.0880954
1 1:0.0155192 2:0.0118608 3:0.0152112 4:0.0312724 5:0.016024 6:0.0742653 7:0.666524 8:0.233023 9:0.100453 10:0.0272148 11:0.899547 12:0.349648 13:0.0700543
0 1:0.0585953 2:-0.0709432 3:-0.00112679 4:0.0858948 5:0.00136703 6:0.016318 7:0.887253 8:0.112743 9:4.31714e-06 10:0.00113678 11:0.999996 12:0.346634 13:3.8797e-06
1 1:0.0103623 2:0.000142246 3:0.0076462 4:0.0226166 5:0.0260658 6:0.0793739 7:0.844102 8:0.0658404 9:0.0900575 10:0.0217538 11:0.909943 12:0.315999 13:0.0722799
1 1:0.00902018 2:0.00013026 3:4.59486e-05 4:0.0267312 5:0.0179548 6:0.0819208 7:0.754663 8:0.141964 9:0.103373 10:0.0256338 11:0.896627 12:0.337548 13:0.0766458
1 1:0.0093794 2:-0.00745264 3:-0.00433139 4:0.0246315 5:0.0163588 6:0.0834115 7:0.738732 8:0.190128 9:0.0711401 10:0.0233443 11:0.92886 12:0.33269 13:0.0533922
1 1:0.0172054 2:-0.00799121 3:-0.0128856 4:0.0277316 5:0.0115512 6:0.0752412 7:0.669378 8:0.180181 9:0.150441 10:0.0298413 11:0.849559 12:0.354648 13:0.101576
0 1:0.00228453 2:-0.00339564 3:0.000473605 4:0.00504785 5:-0.000698199 6:0.273908 7:0.973241 8:0.026758 9:7.81746e-07 10:0.00075472 11:0.999999 12:0.390735 13:7.61373e-07
0 1:0.000817131 2:-0.00038493 3:-0.00136635 4:0.000181402 5:0.000655534 6:0.48786 7:0.997963 8:0.00203681 9:1.49721e-07 10:0.000328388 11:1 12:0.357021 13:1.49417e-07
1 1:0.0272262 2:-0.00947222 3:-0.0163441 4:0.018817 5:0.00425665 6:0.0748128 7:0.651653 8:0.1984 9:0.149947 10:0.0301524 11:0.850053 12:0.356834 13:0.100079
1 1:0.0159352 2:-0.00695432 3:-0.00983587 4:0.00954198 5:-0.000203695 6:0.0823368 7:0.768819 8:0.175364 9:0.0558169 10:0.0196488 11:0.944183 12:0.309198 13:0.0433698
